Name;Bayesian Average;Original Rating;Number of Reviews;Price per Gram;Type;Link;Final Score
Gou Ji Berries;92.64305992686921;94.0;36.0;0.04;Herbs;https://meileaf.com/p/tea-gqzc/;35.326513718245934
Purple Rose;94.52945561186844;96.0;51.0;0.2;Tisanes;https://meileaf.com/p/tea-purc/;34.37085073105066
Amber Gaba Oolong;93.94186694493351;94.0;1150.0;0.2;Oolong;https://meileaf.com/p/tea-agac/;34.167208017143196
Bling Rock Kingpin;93.75294497406676;94.0;260.0;0.19;Ripened;https://meileaf.com/p/tea-brkc/;34.15302594580469
Boat Sterculia;91.57909046537605;93.0;24.0;0.09;Herbs;https://meileaf.com/p/tea-pdhc/;34.14683978581167
Chamomile Flowers;92.50581616906337;93.0;95.0;0.16;Tisanes;https://meileaf.com/p/tea-ochc/;33.89265429523975
Honey Duchess;92.81311312673554;93.0;274.0;0.18;Oolong;https://meileaf.com/p/tea-hcbc/;33.88137226948593
Empress And The Earl;91.25853668637959;92.0;40.0;0.12;Blend;https://meileaf.com/p/tea-feec/;33.74806223929527
Ashikubo Sencha;92.29084406060473;93.0;62.0;0.2;Green;https://meileaf.com/p/tea-ashc/;33.59500708848698
Candy Tree Black;92.58251627698041;93.0;115.0;0.23;Black;https://meileaf.com/p/tea-wwbc/;33.55633103332606
Souchong Liquor;91.94652797384825;92.0;733.0;0.19;Black;https://meileaf.com/p/tea-slqc/;33.52696952049618
Master's Matcha;96.55018462335886;97.0;229.0;0.97;Green;https://meileaf.com/p/tea-hmmc/;33.492203334596404
Little Tong Mu;91.9314825211955;92.0;569.0;0.2;Black;https://meileaf.com/p/tea-tonc/;33.47046186956538
Gleaming Brow;96.44507759647324;97.0;183.0;0.96;Black;https://meileaf.com/p/tea-gbrc/;33.46613880196055
Laoshan Green;91.69713491596099;92.0;118.0;0.2;Green;https://meileaf.com/p/tea-lsgc/;33.38924317864574
Chai High;89.02261490321493;89.0;59.0;0.08;Blend;https://meileaf.com/p/tea-fchc/;33.37861590742686
Creeping Lily Turf Root;88.17667837972614;86.0;6.0;0.06;Herbs;https://meileaf.com/p/tea-mmdc/;33.373118721784174
Koji Plum;91.47319745832313;98.0;5.0;0.22;Ripened;https://meileaf.com/p/tea-ynac/;33.2163221901497
Hibiscus Flowers;89.8431369695101;90.0;64.0;0.13;Tisanes;https://meileaf.com/p/tea-ohic/;33.177479370065015
Peppermint Leaf;89.025018504284;89.0;52.0;0.1;Tisanes;https://meileaf.com/p/tea-pepc/;33.15630538076476
Fur Peak;92.72391902791804;93.0;181.0;0.38;Green;https://meileaf.com/p/tea-ymfc/;33.10324554859674
Rose Buds;91.24451010870735;92.0;39.0;0.23;Tisanes;https://meileaf.com/p/tea-rosc/;33.09261343177091
Petal Heads;90.6162726703204;92.0;15.0;0.19;Blend;https://meileaf.com/p/tea-fphc/;33.065938163963565
Saeakari Kabusecha;91.5835858808192;95.0;10.0;0.27;Green;https://meileaf.com/p/tea-skac/;33.04978548941349
Fig Butter Black;90.52471289627704;91.0;41.0;0.19;Black;https://meileaf.com/p/tea-fbuc/;33.03420596434813
Simple Dreams;90.72219784975884;91.0;80.0;0.22;White;https://meileaf.com/p/tea-sdrc/;32.95604555951072
Cocoa Malt Queen;91.57451918838206;92.0;80.0;0.31;Black;https://meileaf.com/p/tea-cmqc/;32.908492874782766
Ginkgo Leaf Tips;89.03117121856236;89.0;39.0;0.13;Tisanes;https://meileaf.com/p/tea-ginc/;32.896073484574686
Jade Star VII;92.10129768334394;93.0;46.0;0.39;White;https://meileaf.com/p/tea-jsnc/;32.86148594741949
King Peony;91.5876972302071;92.0;83.0;0.34;White;https://meileaf.com/p/tea-wpkc/;32.82068671591992
Genmai Matcha;89.00770476679266;89.0;200.0;0.14;Blend;https://meileaf.com/p/tea-gmmc/;32.81383265998001
Angelica Root;86.0353311634611;84.0;21.0;0.05;Herbs;https://meileaf.com/p/tea-danc/;32.81330588580113
Jade Fire;90.78776985249709;91.0;109.0;0.27;Green;https://meileaf.com/p/tea-jafc/;32.77397667127555
Kick Back Champ;89.75986539102232;90.0;37.0;0.19;Ripened;https://meileaf.com/p/tea-kbcc/;32.76913001843532
Golden Flower TGY;89.87890737137663;90.0;87.0;0.2;Oolong;https://meileaf.com/p/tea-hjgc/;32.7590935305732
Playground Rendez-Vous;90.85970789636376;91.0;172.0;0.29;Ripened;https://meileaf.com/p/tea-prvc/;32.72744953343399
Mom & Pop Shop;89.01240204168623;89.0;119.0;0.16;Raw Puerh;https://meileaf.com/p/tea-mpsc/;32.68192921877988
Jade Arrow - Pre Qing Ming;90.96252863306906;91.0;682.0;0.33;Green;https://meileaf.com/p/tea-ajgc/;32.63387275382917
Ancient Haze;89.93827210920368;90.0;184.0;0.24;Black;https://meileaf.com/p/tea-anhc/;32.597346224104
Yame Saemidori Sencha;89.9216382738895;90.0;142.0;0.24;Green;https://meileaf.com/p/tea-ysec/;32.59158137607904
Dram Alchemist;90.61001551722286;91.0;53.0;0.31;Raw Puerh;https://meileaf.com/p/tea-draa/;32.57422137463091
Senna Leaves;83.85982331775517;79.0;15.0;0.03;Herbs;https://meileaf.com/p/tea-fxyc/;32.57015794479857
Shifu's Pudding;92.63117361553029;93.0;132.0;0.63;Oolong;https://meileaf.com/p/tea-tdtc/;32.56555387137837
Nug Berry;90.82942136194218;91.0;139.0;0.34;Ripened;https://meileaf.com/p/tea-nugc/;32.55788832583268
Dragon Pearl Jasmine;88.04148347012685;88.0;360.0;0.13;Green;https://meileaf.com/p/tea-peac/;32.55307384834329
Royal Peach Orchid;91.91353207871256;92.0;448.0;0.5;Oolong;https://meileaf.com/p/tea-phoc/;32.5479499883928
Chrysanthemum Flowers;89.01288702191162;89.0;114.0;0.2;Tisanes;https://meileaf.com/p/tea-juhc/;32.4589537488036
Sip Spring;89.946399143578;90.0;214.0;0.28;Oolong;https://meileaf.com/p/tea-sipc/;32.44601215975818
Eastern Beauty Oolong;91.90442717137213;92.0;404.0;0.56;Oolong;https://meileaf.com/p/tea-eboc/;32.43146578265966
Lily Cream Whip;89.01178132470669;89.0;126.0;0.21;Oolong;https://meileaf.com/p/tea-lcwc/;32.40978037918409
Lemon Verbena;89.02428116210325;89.0;54.0;0.22;Tisanes;https://meileaf.com/p/tea-olvc/;32.36759247707364
Honeycomb Black;89.70823749590036;90.0;28.0;0.28;Black;https://meileaf.com/p/tea-hncc/;32.36347162245555
Moonlight White;89.00513540110963;89.0;307.0;0.22;White;https://meileaf.com/p/tea-mlwc/;32.36095706194744
Jade Arrow Supreme;93.37848614999301;94.0;95.0;1.04;Green;https://meileaf.com/p/tea-ajsc/;32.3232964867585
Autumn Light;87.11345989608559;87.0;245.0;0.12;Ripened;https://meileaf.com/p/tea-atlc/;32.311488094096894
Alishan Cream;88.0215445174379;88.0;706.0;0.17;Oolong;https://meileaf.com/p/tea-acoc/;32.27789954732878
Forest Jam;89.9231180877837;90.0;145.0;0.33;Black;https://meileaf.com/p/tea-gflc/;32.273640509374765
Heirloom Silver Needle;93.53930131504026;94.0;133.0;1.17;White;https://meileaf.com/p/tea-silc/;32.261247740224015
Grand Master Ripe;92.59252906982299;95.0;20.0;0.87;Ripened;https://meileaf.com/p/tea-gmrc/;32.2293873001648
Find Your Sunshine 2;88.20177985507922;88.0;63.0;0.19;Blend;https://meileaf.com/p/tea-fyuc/;32.22913872028023
River High;87.0954013266188;87.0;294.0;0.13;Blend;https://meileaf.com/p/tea-rivc/;32.22518676316793
Nettle;86.83360193161519;86.0;38.0;0.12;Tisanes;https://meileaf.com/p/tea-ontc/;32.21449671458194
Stone Milk;90.41876702193521;91.0;31.0;0.45;Oolong;https://meileaf.com/p/tea-stmc/;32.13526441169825
Ceremonial Matcha Tea;90.91126809336441;91.0;280.0;0.54;Green;https://meileaf.com/p/tea-orgc/;32.123630719446254
Nut Charmer;88.12521314547692;88.0;110.0;0.21;Ripened;https://meileaf.com/p/tea-ncrc/;32.10251926228045
Black Rose;86.2277014208512;86.0;176.0;0.11;Blend;https://meileaf.com/p/tea-exmc/;32.09151897620363
Swallows Nest;89.01601915719337;89.0;89.0;0.29;Oolong;https://meileaf.com/p/tea-swnc/;32.088475707740955
Silver Needle;88.02364686604201;88.0;642.0;0.21;White;https://meileaf.com/p/tea-sinc/;32.06731907216532
Superior Keemun;89.00808270837837;89.0;190.0;0.3;Black;https://meileaf.com/p/tea-qmmc/;32.051823592505386
Black Yunnan Tuo 96;86.07054074034143;86.0;599.0;0.11;Ripened;https://meileaf.com/p/tea-yubc/;32.03705123490851
Empress Oolong;89.98100124976003;90.0;629.0;0.43;Oolong;https://meileaf.com/p/tea-empc/;32.029008730410574
Imperial Green - Pre Qing Ming;88.01782935323054;88.0;856.0;0.22;Green;https://meileaf.com/p/tea-impc/;32.01878286022885
Golden Bud;88.03266019822092;88.0;461.0;0.23;Black;https://meileaf.com/p/tea-gdbc/;31.979471076853223
Juice Journo;88.13864547256568;88.0;98.0;0.24;Raw Puerh;https://meileaf.com/p/tea-juic/;31.973643159480897
Young Gushu 2022;89.02037750168319;89.0;67.0;0.33;Raw Puerh;https://meileaf.com/p/tea-yguc/;31.96077446335846
Frozen Summit Oolong;89.00383321665169;89.0;416.0;0.33;Oolong;https://meileaf.com/p/tea-fsoc/;31.95504065109648
Cloud Lake;86.25302211468447;86.0;157.0;0.13;Green;https://meileaf.com/p/tea-cllc/;31.933240375310636
Feather Maiden;88.23195872022814;88.0;53.0;0.26;White;https://meileaf.com/p/tea-fmac/;31.92594035907042
Ruby Black;88.02820541151681;88.0;536.0;0.25;Black;https://meileaf.com/p/tea-rrbc/;31.894545556492194
White Peony;88.02750510498383;88.0;550.0;0.25;White;https://meileaf.com/p/tea-wpyc/;31.894302848742765
Cross-Motion Conductor;90.60409421889759;91.0;52.0;0.62;Raw Puerh;https://meileaf.com/p/tea-crcc/;31.879022028451256
Mulberry Leaf Powder;89.04133711150743;89.0;26.0;0.37;Tisanes;https://meileaf.com/p/tea-mlpc/;31.853628159408373
Raspberry Leaf;82.60926770500167;79.0;25.0;0.04;Tisanes;https://meileaf.com/p/tea-orac/;31.849066323790034
Baked Goods;87.06617016806064;87.0;430.0;0.19;Oolong;https://meileaf.com/p/tea-bakc/;31.835566393893483
Love-Struck Rascal;88.47195510963503;88.0;19.0;0.31;Raw Puerh;https://meileaf.com/p/tea-lsrc/;31.833226102937736
Lost Robe;89.00399105339011;89.0;399.0;0.38;Oolong;https://meileaf.com/p/tea-bedc/;31.81401675488169
Sweet Fukamushi Sencha;86.91193882490985;85.0;16.0;0.19;Green;https://meileaf.com/p/tea-fuyc/;31.782113883564012
Tatsuyama Matcha;91.05486674739682;100.0;3.0;0.82;Green;https://meileaf.com/p/tea-omac/;31.755663019833655
Purple Bud;87.098936359803;87.0;283.0;0.21;White;https://meileaf.com/p/tea-pbuc/;31.746838832048454
Midnight Sun;87.07062541467164;87.0;402.0;0.21;Oolong;https://meileaf.com/p/tea-msnc/;31.737027006150058
Superior Iron Goddess;88.02470141779635;88.0;614.0;0.31;Oolong;https://meileaf.com/p/tea-sgoc/;31.67821978519123
Duck Sh*t Oolong;89.97707928643646;90.0;519.0;0.61;Oolong;https://meileaf.com/p/tea-ducc/;31.677975733020833
Heaven Surveyor;89.75986539102232;90.0;37.0;0.57;Raw Puerh;https://meileaf.com/p/tea-hsuc/;31.670517729767212
Undercover DHP;91.78741664788917;92.0;174.0;1.16;Oolong;https://meileaf.com/p/tea-emoc/;31.662674525064418
Eight Immortals Oolong;89.0084560219636;89.0;181.0;0.45;Oolong;https://meileaf.com/p/tea-eioc/;31.646487865026753
Buyi Kiss;89.02580203043097;89.0;50.0;0.47;Green;https://meileaf.com/p/tea-bykc/;31.60901442151858
Ruby Gaba;87.06995256949659;87.0;406.0;0.24;Oolong;https://meileaf.com/p/tea-rgoc/;31.603262423157517
Luminary Misfit;88.20997547928471;88.0;60.0;0.36;Raw Puerh;https://meileaf.com/p/tea-lmic/;31.59289914789604
Sweet Cheeks;86.760300605404;86.0;43.0;0.22;Blend;https://meileaf.com/p/tea-fscc/;31.58295660721433
Sweet Spice JJM;90.7308019706851;91.0;83.0;0.9;Black;https://meileaf.com/p/tea-ssjc/;31.55026030361939
Dandelion Leaf;85.51413420243034;84.0;33.0;0.15;Tisanes;https://meileaf.com/p/tea-pgyc/;31.534060495105578
Sour Sap;86.15283705743086;86.0;269.0;0.19;Oolong;https://meileaf.com/p/tea-souc/;31.519029258620943
Long Jing Supreme;91.02264061860609;92.0;27.0;1.04;Green;https://meileaf.com/p/tea-ljsc/;31.50682264280071
Amachazuru Five Leaf Loose Tea;85.33028213662128;85.0;159.0;0.15;Tisanes;https://meileaf.com/p/tea-amac/;31.470342224577738
Sweet Dew - First Pluck 2022;88.13741701377147;88.0;99.0;0.42;Green;https://meileaf.com/p/tea-gnlc/;31.413601620170652
Golden Turtle;89.00777750085327;89.0;198.0;0.57;Oolong;https://meileaf.com/p/tea-sjgc/;31.409863929465235
Castleton Muscatel - Special Reserve Lot;87.62675106090353;87.0;33.0;0.36;Black;https://meileaf.com/p/tea-cmlc/;31.390768967278728
Green Coil - Pre Qing Ming;86.13307737490219;86.0;311.0;0.23;Green;https://meileaf.com/p/tea-grcc/;31.32112583774148
Bailu Gold;90.60409421889759;91.0;52.0;1.13;Black;https://meileaf.com/p/tea-gblc/;31.278768594784008
Blossoming Jewels;84.93531622401656;84.0;62.0;0.16;White;https://meileaf.com/p/tea-bloc/;31.268918949070546
Honeysuckle Flowers;83.70540448864517;82.0;44.0;0.11;Tisanes;https://meileaf.com/p/tea-jyhc/;31.217357472656822
Mist Pilgrim;88.23911117241427;88.0;51.0;0.53;Raw Puerh;https://meileaf.com/p/tea-mpgc/;31.216223834573235
White Jasmine;86.23260187952313;86.0;172.0;0.27;White;https://meileaf.com/p/tea-wjac/;31.195275752553616
Amber Mountain;87.05771784359919;87.0;495.0;0.38;Yellow;https://meileaf.com/p/tea-ammc/;31.139489860898724
Asamiya Black;84.39893058059889;84.0;164.0;0.16;Black;https://meileaf.com/p/tea-asac/;31.08302185085665
Jasmine Jade Oolong;83.48504513931182;83.0;161.0;0.12;Oolong;https://meileaf.com/p/tea-jjoc/;31.053975364816974
Orchard Stream;87.62675106090353;87.0;33.0;0.53;Oolong;https://meileaf.com/p/tea-sprcc/;31.003995992182716
Osmanthus Oolong;83.23833900129904;83.0;342.0;0.14;Blend;https://meileaf.com/p/tea-osmc/;30.81432285299452
Bamboo Sabre - Pre Qing Ming;88.20443970694463;88.0;62.0;0.85;Green;https://meileaf.com/p/tea-zyqc/;30.73184827736696
Day Drinking Diva;85.4500426681578;85.0;113.0;0.33;Raw Puerh;https://meileaf.com/p/tea-davc/;30.72339070160192
White Blossom;83.94011788277824;82.0;37.0;0.2;Blend;https://meileaf.com/p/tea-floc/;30.7008659355927
Baby Leaf Kuding;82.13834474378677;81.0;85.0;0.13;Tisanes;https://meileaf.com/p/tea-wbtc/;30.507201866034862
Melon Seed Green;84.18777872842401;84.0;364.0;0.31;Green;https://meileaf.com/p/tea-lagc/;30.34844371310877
Almond Blossom;83.4180966231297;83.0;189.0;0.45;Oolong;https://meileaf.com/p/tea-almc/;29.7090169372175
Big Leaf Kuding;78.89040092443703;77.0;75.0;0.25;Tisanes;https://meileaf.com/p/tea-blkc/;28.727623848128513
